invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons,longitude,latitude
INV-41235400078,2021-10-21,6224,MID TOWN LIQUOR & VAPE / MASON CITY,824 NORTH FEDERAL AVENUE,MASON CITY,50401,"{'type': 'Point', 'coordinates': [-93.20108600000002, 43.15973300000001]}",17,CERRO GORDO,1701100,TEMPORARY & SPECIALTY PACKAGES,384,PIEDMONT DISTILLERS INC,101499,MIDNIGHT MOON APPLE PIE W/ WATERMELON MINI,6,800,11.50,17.25,1,17.25,0.8,0.21,,
INV-41288800002,2021-10-22,5758,CASEY'S GENERAL STORE #51 / HUMBOLDT,907 13TH ST N,HUMBOLDT,50548,"{'type': 'Point', 'coordinates': [-94.227051, 42.73129800000001]}",46,HUMBOLDT,1031100,AMERICAN VODKAS,626,JDSO INC / RED BOOT DISTILLERY,36873,BLUE OX VODKA,12,750,3.41,5.12,12,61.44,9.0,2.37,,
INV-41260100008,2021-10-22,5891,CASEY'S GENERAL STORE #2786 / DES MOINES,5150 NE 14TH ST,DES MOINES,50313,"{'type': 'Point', 'coordinates': [-93.600563, 41.653682]}",77,POLK,1062200,WHITE RUM,035,BACARDI USA INC,43124,BACARDI SUPERIOR,24,375,4.50,6.75,6,40.5,2.25,0.59,,
INV-41254200001,2021-10-22,4448,KUM & GO #572 / URBANDALE,4860 NW URBANDALE DR,URBANDALE,50322,"{'type': 'Point', 'coordinates': [-93.769429, 41.646391]}",77,POLK,1031100,AMERICAN VODKAS,434,LUXCO INC,36308,HAWKEYE VODKA,6,1750,7.17,10.76,2,21.52,3.5,0.92,,
INV-41274900011,2021-10-22,5269,LEFTY'S CONVENIENCE STORE INC,"105, MAIN ST",ALBURNETT,52202,"{'type': 'Point', 'coordinates': [-91.618537, 42.148]}",57,LINN,1062400,SPICED RUM,260,DIAGEO AMERICAS,43336,CAPTAIN MORGAN ORIGINAL SPICED,12,750,9.06,13.59,12,163.08,9.0,2.37,,
INV-41282400046,2021-10-22,2551,HY-VEE FOOD STORE / CHARITON,2001 WEST COURT,CHARITON,50049,,59,LUCAS,1062300,AGED DARK RUM,482,"SOVEREIGN BRANDS, LLC",64529,BUMBU RUM,6,750,18.50,27.75,4,111.0,3.0,0.79,,
INV-41257700013,2021-10-22,5507,QUIK TRIP #559 / FLEUR,4021 FLEUR DR,DES MOINES,50321,"{'type': 'Point', 'coordinates': [-93.644902, 41.54787]}",77,POLK,1082000,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65254,JAGERMEISTER LIQUEUR,24,375,7.05,10.58,1,10.58,0.37,0.09,,
INV-41277700093,2021-10-22,5915,THE HUT / COUNCIL BLUFFS,1925 W BROADWAY,COUNCIL BLUFFS,51501,"{'type': 'Point', 'coordinates': [-95.873073, 41.261866]}",78,POTTAWATTAMIE,1081600,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.60,77.40,1,77.4,0.05,0.01,,
INV-41302500024,2021-10-25,5092,KUM & GO #3035 / WEST DES MOINES,7265 VISTA DR,WEST DES MOINES,50265,"{'type': 'Point', 'coordinates': [-93.807938, 41.589647]}",77,POLK,1062400,SPICED RUM,260,DIAGEO AMERICAS,43334,CAPTAIN MORGAN ORIGINAL SPICED,24,375,5.00,7.50,3,22.5,1.12,0.29,,
INV-41283400027,2021-10-22,5868,BROTHERS MARKET / BLOOMFIELD,207 E LOCUST ST,BLOOMFIELD,52537,,26,DAVIS,1042100,IMPORTED DRY GINS,260,DIAGEO AMERICAS,28866,TANQUERAY GIN,12,750,13.50,20.25,4,81.0,3.0,0.79,,
INV-41200500032,2021-10-20,2605,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,,57,LINN,1042100,IMPORTED DRY GINS,370,PERNOD RICARD USA,28086,BEEFEATER GIN,12,750,11.49,17.24,12,206.88,9.0,2.37,,
INV-41314200021,2021-10-25,5663,LAKE VIEW REDEMPTION & LIQUOR STORE,502 5TH ST,LAKE VIEW,51450,"{'type': 'Point', 'coordinates': [-95.051539, 42.307764000000006]}",81,SAC,1031100,AMERICAN VODKAS,434,LUXCO INC,36307,HAWKEYE VODKA,12,1000,4.05,6.08,12,72.96,12.0,3.17,,
INV-41307500142,2021-10-25,6236,WESTSIDE SPIRITS / CEDAR RAPIDS,3330 16TH AVE. SW,CEDAR RAPIDS,52404,"{'type': 'Point', 'coordinates': [-91.715563, 41.963571]}",57,LINN,1082200,IMPORTED SCHNAPPS,260,DIAGEO AMERICAS,69946,RUMPLE MINZE PEPPERMINT SCHNAPPS LIQUEUR,12,750,13.00,19.50,3,58.5,2.25,0.59,,
INV-41307500757,2021-10-25,6236,WESTSIDE SPIRITS / CEDAR RAPIDS,3330 16TH AVE. SW,CEDAR RAPIDS,52404,"{'type': 'Point', 'coordinates': [-91.715563, 41.963571]}",57,LINN,1032200,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,64011,ABSOLUT JUICE EDITION STRAWBERRY,6,750,9.99,14.99,6,89.94,4.5,1.18,,
INV-41257000025,2021-10-22,4361,QUIK TRIP #538 / NW 2ND / DSM,4575 NW 2ND,DES MOINES,50313,,77,POLK,1031100,AMERICAN VODKAS,300,MCCORMICK DISTILLING CO.,36886,MCCORMICK 80PRF VODKA,12,750,3.31,4.97,12,59.64,9.0,2.37,,
INV-41281600014,2021-10-22,5916,ANOTHER ROUND / DEWITT,622 S 6TH AVE,DEWITT,52742,"{'type': 'Point', 'coordinates': [-90.539095, 41.808535]}",23,CLINTON,1012400,IRISH WHISKIES,370,PERNOD RICARD USA,15627,JAMESON,12,1000,19.48,29.22,60,1753.2,60.0,15.85,,
INV-41283400018,2021-10-22,5868,BROTHERS MARKET / BLOOMFIELD,207 E LOCUST ST,BLOOMFIELD,52537,,26,DAVIS,1081300,AMERICAN CORDIALS & LIQUEURS,619,CAMPARI AMERICA,77776,WILD TURKEY AMERICAN HONEY,12,750,10.50,15.75,3,47.25,2.25,0.59,,
INV-41316100084,2021-10-25,2576,HY-VEE WINE AND SPIRITS / STORM LAKE,1250 N LAKE ST,STORM LAKE,50588,"{'type': 'Point', 'coordinates': [-95.200758, 42.65318400000001]}",11,BUENA VISTA,1062500,FLAVORED RUM,370,PERNOD RICARD USA,42718,MALIBU COCONUT,6,1750,17.49,26.24,6,157.44,10.5,2.77,,
INV-41270200019,2021-10-22,4897,GASLAND #102 / BURLINGTON,1703 MT PLEASANT ST,BURLINGTON,52601,"{'type': 'Point', 'coordinates': [-91.121931, 40.819885]}",29,DES MOINES,1031100,AMERICAN VODKAS,260,DIAGEO AMERICAS,37993,SMIRNOFF 80PRF,48,200,2.54,3.81,2,7.62,0.4,0.1,,
INV-41323900001,2021-10-25,2806,OSCO #1118 / CLINTON,1307 N SECOND,CLINTON,52732,,23,CLINTON,1701100,TEMPORARY & SPECIALTY PACKAGES,370,PERNOD RICARD USA,101357,ABSOLUT BLUE W/ CLG MINIS,6,900,9.99,14.99,6,89.94,5.4,1.42,,
INV-41223400014,2021-10-21,5917,URBANDALE LIQUOR,6401 DOUGLAS AVE STE 1,URBANDALE,50322,"{'type': 'Point', 'coordinates': [-93.705732, 41.629411]}",77,POLK,1031100,AMERICAN VODKAS,434,LUXCO INC,36307,HAWKEYE VODKA,12,1000,4.05,6.08,12,72.96,12.0,3.17,,
INV-41195400009,2021-10-20,5072,PEP STOP,"901, E WASHINGTON ST",MOUNT PLEASANT,52641,"{'type': 'Point', 'coordinates': [-91.541171, 40.964231]}",44,HENRY,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL,24,375,8.00,12.00,24,288.0,9.0,2.37,,
